UID,Char0,Char1
0,3202,0
1,3285,0
2,3248,3277
3,3205,0
4,3206,0
5,3207,0
6,3208,0
7,3209,0
8,3210,0
9,3211,0
10,3214,0
11,3215,0
12,3216,0
13,3218,0
14,3219,0
15,3220,0
16,3221,0
17,3221,3262
18,3221,3263
19,3221,3265
20,3221,3266
21,3221,3270
22,3221,3274
23,3221,3276
24,3221,3277
25,3222,0
26,3222,3262
27,3222,3263
28,3222,3265
29,3222,3266
30,3222,3270
31,3222,3274
32,3222,3276
33,3222,3277
34,3223,0
35,3223,3262
36,3223,3263
37,3223,3265
38,3223,3266
39,3223,3270
40,3223,3274
41,3223,3276
42,3223,3277
43,3224,0
44,3224,3262
45,3224,3263
46,3224,3265
47,3224,3266
48,3224,3270
49,3224,3274
50,3224,3276
51,3224,3277
52,3225,0
53,3226,0
54,3226,3262
55,3226,3263
56,3226,3265
57,3226,3266
58,3226,3270
59,3226,3274
60,3226,3276
61,3226,3277
62,3227,0
63,3227,3262
64,3227,3263
65,3227,3265
66,3227,3266
67,3227,3270
68,3227,3274
69,3227,3276
70,3227,3277
71,3228,0
72,3228,3262
73,3228,3263
74,3228,3265
75,3228,3266
76,3228,3270
77,3228,3274
78,3228,3276
79,3228,3277
80,3229,0
81,3229,3262
82,3229,3263
83,3229,3265
84,3229,3266
85,3229,3270
86,3229,3274
87,3229,3276
88,3229,3277
89,3231,0
90,3231,3262
91,3231,3263
92,3231,3265
93,3231,3266
94,3231,3270
95,3231,3274
96,3231,3276
97,3231,3277
98,3232,0
99,3232,3262
100,3232,3263
101,3232,3265
102,3232,3266
103,3232,3270
104,3232,3274
105,3232,3276
106,3232,3277
107,3233,0
108,3233,3262
109,3233,3263
110,3233,3265
111,3233,3266
112,3233,3270
113,3233,3274
114,3233,3276
115,3233,3277
116,3234,0
117,3234,3262
118,3234,3263
119,3234,3265
120,3234,3266
121,3234,3270
122,3234,3274
123,3234,3276
124,3234,3277
125,3235,0
126,3235,3262
127,3235,3263
128,3235,3265
129,3235,3266
130,3235,3270
131,3235,3274
132,3235,3276
133,3235,3277
134,3236,0
135,3236,3262
136,3236,3263
137,3236,3265
138,3236,3266
139,3236,3270
140,3236,3274
141,3236,3276
142,3236,3277
143,3237,0
144,3237,3262
145,3237,3263
146,3237,3265
147,3237,3266
148,3237,3270
149,3237,3274
150,3237,3276
151,3237,3277
152,3238,0
153,3238,3262
154,3238,3263
155,3238,3265
156,3238,3266
157,3238,3270
158,3238,3274
159,3238,3276
160,3238,3277
161,3239,0
162,3239,3262
163,3239,3263
164,3239,3265
165,3239,3266
166,3239,3270
167,3239,3274
168,3239,3276
169,3239,3277
170,3240,0
171,3240,3262
172,3240,3263
173,3240,3265
174,3240,3266
175,3240,3270
176,3240,3274
177,3240,3276
178,3240,3277
179,3242,0
180,3242,3262
181,3242,3263
182,3242,3265
183,3242,3266
184,3242,3270
185,3242,3274
186,3242,3276
187,3242,3277
188,3243,0
189,3243,3262
190,3243,3263
191,3243,3265
192,3243,3266
193,3243,3270
194,3243,3274
195,3243,3276
196,3243,3277
197,3244,0
198,3244,3262
199,3244,3263
200,3244,3265
201,3244,3266
202,3244,3270
203,3244,3274
204,3244,3276
205,3244,3277
206,3245,0
207,3245,3262
208,3245,3263
209,3245,3265
210,3245,3266
211,3245,3270
212,3245,3274
213,3245,3276
214,3245,3277
215,3246,0
216,3246,3262
217,3246,3263
218,3246,3265
219,3246,3266
220,3246,3270
221,3246,3274
222,3246,3276
223,3246,3277
224,3247,0
225,3247,3262
226,3247,3263
227,3247,3265
228,3247,3266
229,3247,3270
230,3247,3274
231,3247,3276
232,3247,3277
233,3248,0
234,3248,3262
235,3248,3263
236,3248,3265
237,3248,3266
238,3248,3270
239,3248,3274
240,3248,3276
241,3248,3277
242,3250,0
243,3250,3262
244,3250,3263
245,3250,3265
246,3250,3266
247,3250,3270
248,3250,3274
249,3250,3276
250,3250,3277
251,3251,0
252,3251,3262
253,3251,3263
254,3251,3265
255,3251,3266
256,3251,3270
257,3251,3274
258,3251,3276
259,3251,3277
260,3253,0
261,3253,3262
262,3253,3263
263,3253,3265
264,3253,3266
265,3253,3270
266,3253,3274
267,3253,3276
268,3253,3277
269,3254,0
270,3254,3262
271,3254,3263
272,3254,3265
273,3254,3266
274,3254,3270
275,3254,3274
276,3254,3276
277,3254,3277
278,3255,0
279,3255,3262
280,3255,3263
281,3255,3265
282,3255,3266
283,3255,3270
284,3255,3274
285,3255,3276
286,3255,3277
287,3256,0
288,3256,3262
289,3256,3263
290,3256,3265
291,3256,3266
292,3256,3270
293,3256,3274
294,3256,3276
295,3256,3277
296,3257,0
297,3257,3262
298,3257,3263
299,3257,3265
300,3257,3266
301,3257,3270
302,3257,3274
303,3257,3276
304,3257,3277
305,3303,0
306,3304,0
307,3305,0
308,3306,0
309,3307,0
310,3308,0
311,3309,0
312,3310,0
313,3311,0
314,3207,0
315,3242,3265
316,3242,3266
317,3242,3274
318,3243,3265
319,3243,3266
320,3243,3274
321,3203,0
322,33,0
323,40,0
324,41,0
325,43,0
326,44,0
327,45,0
328,46,0
329,48,0
330,49,0
331,50,0
332,51,0
333,52,0
334,53,0
335,54,0
336,55,0
337,56,0
338,57,0
339,63,0
